index,action
0,reset
1,allow
2,reset
3,allow
4,reset
5,reset
6,reset
7,reset
8,reset
9,reset
10,reset
11,allow
12,reset
13,reset
14,reset
15,reset
16,reset
17,reset
18,reset
19,reset
20,allow
21,allow
22,allow
23,allow
24,allow
25,allow
26,allow
27,reset
28,allow
29,reset
30,reset
31,allow
32,reset
33,reset
34,allow
35,reset
36,allow
37,reset
38,allow
39,reset
40,allow
41,allow
42,reset
43,allow
44,allow
45,reset
46,reset
47,allow
48,allow
49,reset
50,allow
51,reset
52,reset
53,allow
54,reset
55,reset
56,allow
57,reset
58,allow
59,reset
60,reset
61,allow
62,allow
63,allow
64,reset
65,allow
66,allow
67,allow
68,allow
69,reset
70,allow
71,allow
72,allow
73,reset
74,allow
75,reset
76,reset
77,allow
78,allow
79,allow
80,reset
81,allow
82,reset
83,reset
84,allow
85,reset
86,reset
87,reset
88,allow
89,allow
90,reset
91,reset
92,reset
93,allow
94,reset
95,allow
96,reset
97,reset
98,allow
99,allow
100,allow
101,reset
102,reset
103,allow
104,allow
105,reset
106,reset
107,allow
108,allow
109,reset
110,allow
111,allow
112,reset
113,reset
114,allow
115,allow
116,reset
117,allow
118,allow
119,allow
120,allow
121,reset
122,allow
123,reset
124,reset
125,reset
126,allow
127,reset
128,allow
129,allow
130,reset
131,allow
132,allow
133,reset
134,allow
135,reset
136,allow
137,reset
138,allow
139,reset
140,reset
141,allow
142,reset
143,reset
144,allow
145,allow
146,reset
147,reset
148,reset
149,reset
150,reset
151,reset
152,reset
153,allow
154,reset
155,allow
156,reset
157,reset
158,allow
159,allow
160,allow
161,allow
162,reset
163,reset
164,reset
165,reset
166,allow
167,allow
168,allow
169,reset
170,allow
171,allow
172,reset
173,reset
174,reset
175,allow
176,reset
177,reset
178,reset
179,allow
180,reset
181,reset
182,allow
183,allow
184,reset
185,reset
186,allow
187,reset
188,reset
189,reset
190,reset
191,reset
192,allow
193,reset
194,allow
195,reset
196,allow
197,allow
198,reset
199,allow
200,reset
201,allow
202,allow
203,allow
204,allow
205,reset
206,allow
207,allow
208,reset
209,reset
210,allow
211,allow
212,allow
213,reset
214,reset
215,reset
216,reset
217,reset
218,allow
219,reset
220,reset
221,reset
222,allow
223,allow
224,reset
225,reset
226,allow
227,allow
228,reset
229,allow
230,reset
231,allow
232,allow
233,allow
234,reset
235,allow
236,allow
237,allow
238,allow
239,allow
240,reset
241,allow
242,reset
243,reset
244,reset
245,allow
