4: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10002, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 81 })
6: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10045, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 70 })
7: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10028, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 73 })
8: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10041, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 73 })
9: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10042, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 77 })
16: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10046, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 77 })
17: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10047, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 76 })
18: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10018, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 72 })
19: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10040, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 72 })
21: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10011, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
23: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10021, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 76 })
24: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10012, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
25: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10009, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 74 })
26: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10026, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 74 })
30: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10024, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 74 })
31: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10017, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 77 })
32: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10029, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 73 })
34: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10027, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 81 })
36: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10016, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 75 })
38: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10035, dst_port: 443, seq: SeqNumber(1000), ack: SeqNumber(1000), is_ack: true, payload_len: 70 })
