index,action
0,allow
1,allow
2,reset
3,allow
4,reset
5,reset
6,reset
7,reset
8,allow
9,allow
10,allow
11,allow
12,allow
13,allow
14,reset
15,reset
16,reset
17,reset
18,allow
19,reset
20,allow
21,reset
22,reset
23,reset
24,reset
25,allow
26,allow
27,allow
28,reset
29,reset
30,reset
31,allow
32,reset
33,allow
34,reset
35,allow
36,reset
37,reset
38,reset
39,allow
40,allow
41,reset
42,allow
43,reset
44,reset
45,reset
46,allow
47,reset
48,reset
49,allow
50,allow
51,reset
52,allow
53,reset
54,allow
55,allow
56,allow
57,allow
58,allow
59,allow
60,reset
61,allow
62,reset
63,allow
64,reset
65,allow
66,reset
67,reset
68,allow
69,reset
70,allow
71,reset
72,reset
73,allow
74,allow
75,allow
76,reset
77,allow
78,reset
79,reset
80,allow
81,allow
82,reset
83,allow
84,reset
85,allow
86,allow
87,allow
88,reset
89,reset
90,reset
91,allow
92,allow
93,allow
94,reset
95,allow
96,reset
97,reset
98,reset
99,allow
