index,action
0,drop
1,drop
2,drop
3,allow
4,drop
5,allow
6,allow
7,drop
8,drop
9,allow
10,allow
11,allow
12,drop
13,drop
14,drop
15,drop
16,allow
17,allow
18,drop
19,drop
20,drop
21,drop
22,allow
23,drop
24,allow
25,allow
26,drop
27,allow
28,allow
29,allow
30,drop
31,drop
32,drop
33,allow
34,drop
35,allow
36,drop
37,allow
38,drop
39,drop
40,allow
41,drop
42,allow
43,drop
44,allow
45,allow
46,allow
47,allow
48,allow
49,drop
50,drop
51,drop
52,allow
53,allow
54,allow
55,allow
56,allow
57,drop
58,drop
59,drop
60,allow
61,drop
62,allow
63,drop
64,drop
65,allow
66,allow
67,drop
68,allow
69,allow
70,drop
71,allow
72,drop
73,allow
74,allow
75,drop
76,drop
77,allow
78,allow
79,allow
80,drop
81,allow
82,drop
83,allow
84,allow
85,drop
86,allow
87,allow
88,drop
89,drop
90,drop
91,drop
92,drop
93,drop
94,allow
95,drop
96,allow
97,drop
98,allow
99,allow
