flow_index,first_packet_index,num_packets,class
0,0,12,blocked
1,12,12,normal
2,24,12,blocked
3,36,12,blocked
4,48,12,normal
5,60,12,normal
6,72,12,normal
7,84,12,normal
8,96,12,blocked
9,108,12,blocked
10,120,12,blocked
11,132,12,blocked
12,144,12,blocked
13,156,12,blocked
14,168,12,normal
15,180,12,blocked
16,192,12,normal
17,204,12,normal
18,216,12,normal
19,228,12,normal
20,240,12,normal
21,252,12,blocked
22,264,12,normal
23,276,12,normal
24,288,12,blocked
25,300,12,normal
26,312,12,normal
27,324,12,blocked
28,336,12,normal
29,348,12,normal
30,360,12,normal
31,372,12,normal
32,384,12,normal
33,396,12,normal
34,408,12,blocked
35,420,12,normal
36,432,12,normal
37,444,12,normal
38,456,12,blocked
39,468,12,normal
40,480,12,normal
41,492,12,blocked
42,504,12,normal
43,516,12,normal
44,528,12,normal
45,540,12,normal
46,552,12,normal
47,564,12,blocked
48,576,12,normal
49,588,12,normal
50,600,12,blocked
51,612,12,normal
52,624,12,blocked
53,636,12,normal
54,648,12,normal
55,660,12,normal
56,672,12,normal
57,684,12,normal
58,696,12,blocked
59,708,12,normal
60,720,12,blocked
61,732,12,normal
62,744,12,blocked
63,756,12,blocked
64,768,12,blocked
65,780,12,blocked
66,792,12,blocked
67,804,12,blocked
68,816,12,normal
69,828,12,blocked
70,840,12,blocked
71,852,12,blocked
72,864,12,normal
73,876,12,blocked
74,888,12,blocked
75,900,12,blocked
76,912,12,blocked
77,924,12,normal
78,936,12,blocked
79,948,12,normal
80,960,12,normal
81,972,12,normal
82,984,12,normal
83,996,12,blocked
84,1008,12,blocked
85,1020,12,normal
86,1032,12,normal
87,1044,12,normal
88,1056,12,normal
89,1068,12,normal
90,1080,12,blocked
91,1092,12,normal
92,1104,12,blocked
93,1116,12,normal
94,1128,12,blocked
95,1140,12,normal
96,1152,12,blocked
97,1164,12,blocked
98,1176,12,blocked
99,1188,12,blocked
100,1200,12,normal
101,1212,12,blocked
102,1224,12,blocked
103,1236,12,normal
104,1248,12,blocked
105,1260,12,normal
106,1272,12,blocked
107,1284,12,normal
108,1296,12,blocked
109,1308,12,normal
110,1320,12,blocked
111,1332,12,blocked
112,1344,12,normal
113,1356,12,blocked
114,1368,12,blocked
115,1380,12,normal
116,1392,12,normal
117,1404,12,blocked
118,1416,12,blocked
119,1428,12,blocked
120,1440,12,normal
121,1452,12,blocked
122,1464,12,normal
123,1476,12,normal
124,1488,12,normal
125,1500,12,normal
126,1512,12,normal
127,1524,12,blocked
128,1536,12,blocked
129,1548,12,normal
130,1560,12,normal
131,1572,12,blocked
132,1584,12,blocked
133,1596,12,blocked
134,1608,12,blocked
135,1620,12,normal
136,1632,12,normal
137,1644,12,normal
138,1656,12,normal
139,1668,12,blocked
140,1680,12,blocked
141,1692,12,blocked
142,1704,12,blocked
143,1716,12,blocked
144,1728,12,normal
145,1740,12,normal
146,1752,12,blocked
147,1764,12,normal
148,1776,12,normal
149,1788,12,blocked
150,1800,12,blocked
151,1812,12,blocked
152,1824,12,normal
153,1836,12,blocked
154,1848,12,normal
155,1860,12,blocked
156,1872,12,normal
157,1884,12,blocked
158,1896,12,normal
159,1908,12,blocked
160,1920,12,blocked
161,1932,12,blocked
162,1944,12,normal
163,1956,12,blocked
164,1968,12,blocked
165,1980,12,normal
166,1992,12,blocked
167,2004,12,normal
168,2016,12,blocked
169,2028,12,blocked
170,2040,12,blocked
171,2052,12,blocked
172,2064,12,normal
173,2076,12,blocked
174,2088,12,blocked
175,2100,12,normal
176,2112,12,blocked
177,2124,12,blocked
178,2136,12,normal
179,2148,12,blocked
180,2160,12,normal
181,2172,12,blocked
182,2184,12,blocked
183,2196,12,blocked
184,2208,12,blocked
185,2220,12,blocked
186,2232,12,normal
187,2244,12,normal
188,2256,12,normal
189,2268,12,blocked
190,2280,12,normal
191,2292,12,normal
192,2304,12,blocked
193,2316,12,normal
194,2328,12,blocked
195,2340,12,normal
196,2352,12,blocked
197,2364,12,blocked
198,2376,12,normal
199,2388,12,normal
